STAID,STANAME,CN,LAT,LON,HGHT
240,GENEVE COINTRIN,CH,46.25,6.133056,420
241,GENEVE OBSERVATOIRE,CH,46.2,6.15,405
242,LUGANO,CH,46.0,8.966667,273
243,SAENTIS,CH,47.25,9.35,2502
244,ZUERICH/FLUNTERN,CH,47.383056,8.566667,555
257,CET CENTRAL ENGLAND,GB,52.42,1.83,78
262,NIS,RS,43.333056,21.9,201
263,BELGRADE (OBSERVATORY),RS,44.8,20.466667,132
264,OKSOEY FYR,NO,58.066667,8.050556,9
265,BERGEN FLORIDA,NO,60.383056,5.333056,12
266,BODOE VI,NO,67.266944,14.358889,11
267,BUCURESTI FILARET,RO,44.416667,26.1,82
268,VORU,EE,57.845833,27.019167,82
269,VILSANDI,EE,58.383056,21.815278,6
271,ARMAGH OBSERVATORY,GB,54.35,6.65,62
272,ESKDALEMUIR,GB,55.316667,3.2,242
274,RADCLIFFE METEOROLOGICAL STATION OXFORD,GB,51.760833,1.263889,63
275,WICK,GB,58.45,3.083056,36
276,SARAJEVO,BA,43.867778,18.422778,630
299,TASIILAQ,GL,65.610833,37.636667,54
301,TASIILAQ (ANGMAGSALIK),GL,65.599722,37.633056,50
303,VESTERVIG-1,DK,56.763333,8.320556,18
304,NORDBY,DK,55.448056,8.4,4
305,TRANEBJERG OEST-1,DK,55.831389,10.621667,16
307,THYBOROEN,DK,56.706667,8.215,2
309,ALICANTE EL ALTET,ES,38.282778,0.570556,43
322,RENNES-ST JACQUES,FR,48.068889,1.733889,36
323,STRASBOURG-ENTZHEIM,FR,48.549167,7.640278,150
324,LINDENBERG,DE,52.209444,14.120278,98
326,SAMOS AIRPORT,GR,37.7,26.916667,2
328,TROMSO,NO,69.653889,18.928056,100
329,ONA II,NO,62.859444,6.539167,13
330,FOKSTUA,NO,62.116667,9.283056,952
331,TORUNGEN FYR,NO,58.383056,8.791667,12
332,LEBA,PL,54.753333,17.534444,2
333,SIEDLCE,PL,52.180833,22.244444,152
334,POPRAD/TATRY,SK,49.066667,20.233056,694
335,BARCELONA -FABRA OBSERVATORY,ES,41.418056,2.123889,412
336,ALBACETE LOS LLANOS,ES,38.951944,1.863056,704
337,CORDOBA AEROPUERTO,ES,37.844167,4.845833,90
339,HAPARANDA,SE,65.826944,24.143889,5
341,MALUNG,SE,60.681389,13.699444,308
342,GOTSKA SANDON,SE,58.4,19.2,11
343,RIZE,TR,41.033056,40.516667,9
344,KASTAMONU,TR,41.366667,33.783056,800
346,ISPARTA,TR,37.75,30.55,997
347,FINIKE,TR,36.316389,30.15,2
348,LERWICK,GB,60.133056,1.183056,82
350,VALLEY,GB,53.25,4.533056,11
351,WADDINGTON,GB,53.165833,0.523889,68
352,CAMBORNE,GB,50.216667,5.316667,88
400,ODESA_OBSERV,UA,46.440556,30.770278,42
405,EKATERINBURG,RU,56.833056,60.633056,280
412,ALICANTE,ES,38.3725,0.494167,81
414,BURGOS-VILLAFRIA,ES,42.355833,3.6325,890
416,CIUDAD REAL,ES,38.989167,3.919444,628
417,GRANADA,ES,37.136667,3.631389,687
418,HUELVA (RONDA DEL ESTE),ES,37.28,6.909444,19
419,HUESCA,ES,42.083056,0.326389,541
420,A CORUNA,ES,43.366944,8.419167,58
421,MURCIA,ES,38.002778,1.169167,61
422,PAMPLONA,ES,42.776667,1.65,459
423,SEVILLA/SAN PABLO,ES,37.416667,5.879167,34
424,SORIA,ES,41.775,2.483056,1082
425,VALLADOLID,ES,41.65,4.766667,735
434,BREST-GUIPAVAS,FR,48.444167,4.411667,94
440,GODTHAAB,GL,64.16,51.75,70
442,VOLKEL,NL,51.658056,5.706667,20
446,RIGA,LV,56.9625,24.04,17
450,SIBIU,RO,45.8,24.15,444
455,TENERIFE/LOS RODEOS,ES,28.4775,16.329167,632
456,DIARBEKIR,TR,37.88,40.18,677
461,DURHAM,GB,54.767778,1.584167,102
462,GOTEBORG A,SE,57.715833,11.994167,5
463,LUND,SE,55.7,13.2,73
464,ARCEN,NL,51.496944,6.195833,19
465,VISBY,SE,57.666667,18.333056,42
466,HARNOSAND,SE,62.633056,17.933056,15
468,HELGOLAND,DE,54.176389,7.893056,4
469,LIST/SYLT,DE,55.0125,8.4125,26
470,SCHLESWIG,DE,54.528889,9.549167,43
471,WESTERMARKELSDORF/FEHMARN,DE,54.529444,11.061667,3
